OrderDate,Region,City,Category,Product,Quantity,UnitPrice,TotalPrice
1/1/2020,East,Boston,Bars,Carrot,33,1.77,58.41
4/1/2020,East,Boston,Crackers,Whole Wheat,87,3.49,303.63
7/1/2020,West,Los Angeles,Cookies,Chocolate Chip,58,1.87,108.46
10/1/2020,East,New York,Cookies,Chocolate Chip,82,1.87,153.34
13/1/2020,East,Boston,Cookies,Arrowroot,38,2.18,82.84
16/1/2020,East,Boston,Bars,Carrot,54,1.77,95.58
19/1/2020,East,Boston,Crackers,Whole Wheat,149,3.49,520.01
22/1/2020,West,Los Angeles,Bars,Carrot,51,1.77,90.27
25/1/2020,East,New York,Bars,Carrot,100,1.77,177
28/1/2020,East,New York,Snacks,Potato Chips,28,1.35,37.8
31/1/2020,East,Boston,Cookies,Arrowroot,36,2.18,78.48
3/2/2020,East,Boston,Cookies,Chocolate Chip,31,1.87,57.97
6/2/2020,East,Boston,Crackers,Whole Wheat,28,3.49,97.72
9/2/2020,West,Los Angeles,Bars,Carrot,44,1.77,77.88
12/2/2020,East,New York,Bars,Carrot,23,1.77,40.71
15/2/2020,East,New York,Snacks,Potato Chips,27,1.35,36.45
18/2/2020,East,Boston,Cookies,Arrowroot,43,2.18,93.74
21/2/2020,East,Boston,Cookies,Oatmeal Raisin,123,2.84,349.32
24/2/2020,West,Los Angeles,Bars,Bran,42,1.87,78.54
27/2/2020,West,Los Angeles,Cookies,Oatmeal Raisin,33,2.84,93.72
2/3/2020,East,New York,Cookies,Chocolate Chip,85,1.87,158.95
5/3/2020,West,San Diego,Cookies,Oatmeal Raisin,30,2.84,85.2
8/3/2020,East,Boston,Bars,Carrot,61,1.77,107.97
11/3/2020,East,Boston,Crackers,Whole Wheat,40,3.49,139.6
14/3/2020,West,Los Angeles,Cookies,Chocolate Chip,86,1.87,160.82
17/3/2020,East,New York,Bars,Carrot,38,1.77,67.26
20/3/2020,East,New York,Snacks,Potato Chips,68,1.68,114.24
23/3/2020,West,San Diego,Cookies,Chocolate Chip,39,1.87,72.93
26/3/2020,East,Boston,Bars,Bran,103,1.87,192.61
29/3/2020,East,Boston,Cookies,Oatmeal Raisin,193,2.84,548.12
1/4/2020,West,Los Angeles,Bars,Carrot,58,1.77,102.66
4/4/2020,West,Los Angeles,Snacks,Potato Chips,68,1.68,114.24
7/4/2020,East,New York,Bars,Carrot,91,1.77,161.07
10/4/2020,East,New York,Crackers,Whole Wheat,23,3.49,80.27
13/4/2020,West,San Diego,Snacks,Potato Chips,28,1.68,47.04
16/4/2020,East,Boston,Bars,Carrot,48,1.77,84.96
19/4/2020,East,Boston,Snacks,Potato Chips,134,1.68,225.12
22/4/2020,West,Los Angeles,Bars,Carrot,20,1.77,35.4
25/4/2020,East,New York,Bars,Carrot,53,1.77,93.81
28/4/2020,East,New York,Snacks,Potato Chips,64,1.68,107.52
1/5/2020,West,San Diego,Cookies,Chocolate Chip,63,1.87,117.81
4/5/2020,East,Boston,Bars,Bran,105,1.87,196.35
7/5/2020,East,Boston,Cookies,Oatmeal Raisin,138,2.84,391.92
10/5/2020,West,Los Angeles,Bars,Carrot,25,1.77,44.25
13/5/2020,West,Los Angeles,Crackers,Whole Wheat,21,3.49,73.29
16/5/2020,East,New York,Bars,Carrot,61,1.77,107.97
19/5/2020,East,New York,Snacks,Potato Chips,49,1.68,82.32
22/5/2020,West,San Diego,Cookies,Chocolate Chip,55,1.87,102.85
25/5/2020,East,Boston,Cookies,Arrowroot,27,2.18,58.86
28/5/2020,East,Boston,Bars,Carrot,58,1.77,102.66
31/5/2020,East,Boston,Crackers,Whole Wheat,33,3.49,115.17
3/6/2020,West,Los Angeles,Cookies,Oatmeal Raisin,288,2.84,817.92
6/6/2020,East,New York,Cookies,Chocolate Chip,76,1.87,142.12
9/6/2020,West,San Diego,Bars,Carrot,42,1.77,74.34
12/6/2020,West,San Diego,Crackers,Whole Wheat,20,3.49,69.8
15/6/2020,East,Boston,Bars,Carrot,75,1.77,132.75
18/6/2020,East,Boston,Crackers,Whole Wheat,38,3.49,132.62
21/6/2020,West,Los Angeles,Bars,Carrot,306,1.77,541.62
24/6/2020,West,Los Angeles,Snacks,Potato Chips,28,1.68,47.04
27/6/2020,East,New York,Bars,Bran,110,1.87,205.7
30/6/2020,East,New York,Cookies,Oatmeal Raisin,51,2.84,144.84
3/7/2020,West,San Diego,Bars,Carrot,52,1.77,92.04
6/7/2020,West,San Diego,Crackers,Whole Wheat,28,3.49,97.72
9/7/2020,East,Boston,Bars,Carrot,136,1.77,240.72
12/7/2020,East,Boston,Crackers,Whole Wheat,42,3.49,146.58
15/7/2020,West,Los Angeles,Cookies,Chocolate Chip,75,1.87,140.25
18/7/2020,East,New York,Bars,Bran,72,1.87,134.64
21/7/2020,East,New York,Cookies,Oatmeal Raisin,56,2.84,159.04
24/7/2020,West,San Diego,Bars,Bran,51,1.87,95.37
27/7/2020,West,San Diego,Snacks,Potato Chips,31,1.68,52.08
30/7/2020,East,Boston,Bars,Bran,56,1.87,104.72
2/8/2020,East,Boston,Cookies,Oatmeal Raisin,137,2.84,389.08
5/8/2020,West,Los Angeles,Cookies,Chocolate Chip,107,1.87,200.09
8/8/2020,East,New York,Bars,Carrot,24,1.77,42.48
11/8/2020,East,New York,Crackers,Whole Wheat,30,3.49,104.7
14/8/2020,West,San Diego,Cookies,Chocolate Chip,70,1.87,130.9
17/8/2020,East,Boston,Cookies,Arrowroot,31,2.18,67.58
20/8/2020,East,Boston,Bars,Carrot,109,1.77,192.93
23/8/2020,East,Boston,Crackers,Whole Wheat,21,3.49,73.29
26/8/2020,West,Los Angeles,Cookies,Chocolate Chip,80,1.87,149.6
29/8/2020,East,New York,Bars,Bran,75,1.87,140.25
1/9/2020,East,New York,Cookies,Oatmeal Raisin,74,2.84,210.16
4/9/2020,West,San Diego,Bars,Carrot,45,1.77,79.65
7/9/2020,East,Boston,Cookies,Arrowroot,28,2.18,61.04
10/9/2020,East,Boston,Bars,Carrot,143,1.78,253.11
