,Rent,AllRent,Cows,Pasture
1,28.75,64.14,90.33,0.04
2,33.24,83.8,14.22,0.67
3,77.78,48.19,89.13,0.12
4,87.57,19.9,18.86,0.57
5,16.84,80.22,83.66,0.8
6,84.2,78.37,14.9,
7,14.57,15.08,59.81,0.69
8,35.11,74.17,44.52,0.55
9,93.71,26.94,95.63,0.38
10,76.17,46.65,11.76,0.94
11,85.06,15.17,79.61,0.32
12,79.87,19.18,11.5,0.31
13,92.53,50.86,56.25,0.58
14,16.18,,30.78,0
15,78.24,85.03,46.96,0.37
16,19.13,30.72,63.87,0.52
17,,50.81,14.99,0.88
18,37.77,32.04,12.67,0.31
19,28.16,58.78,83.17,0.2
20,71.71,19.44,61.42,0.43
21,73.45,83.58,29.12,0.9
22,30.17,30.61,68.16,0.76
23,56.62,89.94,,0.2
24,14.33,34.84,87.79,0.5
25,83.26,97.37,14.68,0.62
26,49.05,84.33,46.09,0.64
27,10.85,51.36,72.25,0.72
28,70.69,84.76,55.49,0.86
29,85.72,10.16,21.37,0.39
30,92.76,38.09,84.69,0.99
31,91.24,10.07,99.22,0.99
32,60.77,79.97,23.34,0.27
33,22.32,63.44,67.83,
34,68.23,71.71,83.09,0.17
35,57.26,,66.6,0.61
36,89.41,67.96,61.36,0.85
37,56.92,25.54,91.28,0.63
38,,21.2,31.66,0.29
39,47.77,10.39,44.93,0.38
40,69.33,41.64,54.84,0.36
41,36.02,57.22,66.67,0.17
42,58.71,92.33,87.36,0.57
43,78.07,33.4,67.62,0.9
44,69.55,22.61,99.43,0.8
45,40.87,50.26,74.58,0.17
46,77.62,93.82,,0.51
47,25.26,93.97,14.82,0.78
48,71.5,13.71,47.22,0.02
49,39.13,30.88,22.22,0.68
50,93.41,69.8,78.25,0.69
51,99.56,64.9,46.6,0.6
52,83.9,28.96,77.11,0.98
53,63.28,74.75,49.55,
54,37.88,69.27,33.79,0.52
55,76.93,33.38,21.29,0.54
56,43.01,79.84,42.33,0.71
57,12.05,70.52,61.57,0.77
58,91.5,15.31,35.86,0.03
59,33.9,55.99,25.34,1
60,50.82,35.19,29.18,0.62
61,91.04,26.53,,0
62,37.68,96.89,46.7,0.59
63,82.63,65.14,88.22,0.68
64,52.74,15.89,13.67,0.04
65,69.9,83.29,38.24,0.93
66,,72.53,85.94,0.27
67,39.32,12.76,49.24,0.77
